                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.54871,                0.63046,                 2.1595,                0.91211,                0.87871,                0.93988,                0.87927,                0.35929,                0.45025,                  2.271,               0.003268,               0.003268,               0.003268
                     70,                0.54814,                0.62712,                 2.1627,                0.91584,                0.87505,                0.93987,                0.87904,                0.35972,                0.45044,                 2.2709,               0.003169,               0.003169,               0.003169
                     71,                 0.5488,                0.63399,                 2.1504,                0.90941,                0.87999,                0.93929,                0.87878,                0.35955,                0.44973,                 2.2698,                0.00307,                0.00307,                0.00307
                     72,                 0.5477,                0.63342,                 2.1648,                0.91386,                0.87505,                0.93862,                0.87845,                0.35912,                 0.4491,                 2.2691,               0.002971,               0.002971,               0.002971
                     73,                0.54278,                0.62316,                 2.1667,                0.91721,                 0.8732,                0.93834,                0.87764,                0.35813,                0.44893,                 2.2684,               0.002872,               0.002872,               0.002872
                     74,                0.54219,                0.61392,                 2.1558,                0.90763,                0.88197,                0.93848,                0.87736,                0.35713,                0.44876,                 2.2679,               0.002773,               0.002773,               0.002773
                     75,                0.54079,                0.61776,                 2.1469,                0.91452,                0.87773,                0.93875,                0.87836,                0.35616,                0.44871,                 2.2669,               0.002674,               0.002674,               0.002674
                     76,                0.53802,                0.61639,                 2.1565,                0.90801,                0.88009,                0.93874,                0.87819,                0.35587,                0.44904,                 2.2661,               0.002575,               0.002575,               0.002575
                     77,                 0.5295,                0.59738,                 2.1466,                0.90658,                 0.8826,                0.93865,                0.87805,                0.35535,                0.44894,                 2.2649,               0.002476,               0.002476,               0.002476
                     78,                0.53443,                0.60094,                 2.1492,                0.91279,                0.87647,                0.93884,                0.87819,                0.35477,                0.44842,                 2.2651,               0.002377,               0.002377,               0.002377
                     79,                0.52652,                0.59141,                 2.1473,                0.91215,                0.87639,                0.93884,                0.87879,                0.35446,                0.44861,                 2.2649,               0.002278,               0.002278,               0.002278
                     80,                0.52459,                0.58886,                 2.1474,                0.91005,                0.87645,                0.93878,                0.87931,                0.35457,                0.44853,                 2.2648,               0.002179,               0.002179,               0.002179
                     81,                0.52226,                0.58594,                 2.1456,                0.91259,                0.87514,                0.93892,                0.87909,                0.35408,                0.44776,                 2.2644,                0.00208,                0.00208,                0.00208
                     82,                0.52431,                0.58047,                 2.1444,                0.91624,                0.87216,                0.93881,                0.87873,                0.35424,                0.44817,                 2.2642,               0.001981,               0.001981,               0.001981
                     83,                0.52053,                0.57377,                  2.142,                0.91462,                 0.8727,                0.93872,                 0.8792,                0.35385,                0.44821,                 2.2643,               0.001882,               0.001882,               0.001882
                     84,                0.51464,                0.57304,                 2.1382,                0.91744,                0.87175,                 0.9383,                0.87867,                0.35363,                0.44898,                 2.2642,               0.001783,               0.001783,               0.001783
                     85,                0.51381,                0.56733,                 2.1385,                0.91178,                0.87782,                0.93855,                0.87886,                0.35372,                0.44921,                 2.2642,               0.001684,               0.001684,               0.001684
                     86,                0.51214,                0.56348,                 2.1364,                0.90691,                0.87999,                0.93849,                0.87871,                0.35329,                0.44994,                 2.2639,               0.001585,               0.001585,               0.001585
                     87,                 0.5085,                0.55578,                 2.1297,                0.90751,                  0.881,                0.93839,                0.87893,                0.35284,                0.44963,                 2.2638,               0.001486,               0.001486,               0.001486
                     88,                0.50716,                0.55345,                 2.1313,                0.90872,                0.88074,                0.93849,                0.87907,                0.35251,                 0.4499,                 2.2634,               0.001387,               0.001387,               0.001387
                     89,                0.50341,                 0.5485,                 2.1259,                0.90961,                0.87935,                0.93836,                0.87947,                0.35243,                0.44961,                  2.263,               0.001288,               0.001288,               0.001288
